"sense"	"label"	"%"
"26863"	"735"	"100"
"26864"	"37"	"60"
"26865"	"37"	"60"
"26866"	"303"	"60"
"26867"	"37"	"90"
"26868"	"600"	"100"
"26869"	"37"	"60"
"26870"	"625"	"100"
"26871"	"177"	"60"
"26872"	"37"	"60"
"26873"	"178"	"100"
"26874"	"591"	"80"
"26875"	"188"	"100"
"26877"	"718"	"60"
"26878"	"37"	"60"
"26879"	"718"	"60"
"26880"	"719"	"90"
"26881"	"27"	"60"
"26882"	"303"	"60"
"26883"	"748"	"80"
"26884"	"37"	"90"
"26885"	"316"	"60"
"26886"	"55"	"60"
"26887"	"152"	"100"
"26888"	"37"	"60"
"26889"	"37"	"60"
"26890"	"303"	"60"
"26891"	"748"	"60"
"26892"	"624"	"100"
"26893"	"187"	"60"
"26894"	"450"	"100"
"26895"	"793"	"100"
"26896"	"37"	"60"
"26897"	"748"	"60"
"26898"	"748"	"60"
"26899"	"801"	"90"
"26900"	"187"	"60"
"26901"	"37"	"60"
"26902"	"61"	"100"
"26903"	"765"	"60"
"26904"	"719"	"70"
"26905"	"692"	"90"
"26906"	"625"	"60"
"26907"	"37"	"60"
"26908"	"57"	"60"
"26909"	"78"	"100"
"26910"	"291"	"100"
"26911"	"508"	"60"
"26912"	"78"	"100"
"26913"	"785"	"60"
"26914"	"121"	"90"
"26915"	"698"	"100"
"26916"	"506"	"100"
"26917"	"155"	"80"
"26918"	"748"	"90"
"26919"	"37"	"60"
"26920"	"689"	"100"
"26921"	"698"	"100"
"26922"	"537"	"100"
"26923"	"464"	"60"
"26924"	"698"	"100"
"26925"	"37"	"60"
"26926"	"698"	"100"
"26927"	"37"	"60"
"26928"	"348"	"60"
"26929"	"743"	"100"
"26930"	"806"	"100"
"26931"	"61"	"100"
"26932"	"718"	"60"
"26933"	"37"	"90"
"26934"	"848"	"90"
"26935"	"290"	"60"
"26936"	"151"	"60"
"26937"	"152"	"60"
"26938"	"554"	"100"
"26939"	"350"	"60"
"26940"	"45"	"100"
"26941"	"236"	"100"
"26942"	"554"	"100"
"26943"	"663"	"60"
"26944"	"403"	"100"
"26945"	"113"	"60"
"26946"	"435"	"100"
"26947"	"718"	"60"
"26948"	"113"	"100"
"26949"	"849"	"100"
"26950"	"37"	"60"
"26951"	"78"	"100"
"26952"	"303"	"60"
"26953"	"626"	"100"
"26954"	"698"	"100"
"26955"	"78"	"100"
"26956"	"140"	"90"
"26957"	"562"	"90"
"26958"	"425"	"100"
"26959"	"301"	"60"
"26960"	"718"	"60"
"26961"	"51"	"90"
"26962"	"653"	"60"
"26963"	"37"	"60"
"26964"	"152"	"70"
"26965"	"551"	"60"
"26966"	"78"	"100"
"26967"	"646"	"100"
"26968"	"39"	"90"
"26969"	"553"	"80"
"26970"	"27"	"60"
"26971"	"78"	"100"
"26972"	"718"	"60"
"26973"	"37"	"80"
"26974"	"872"	"100"
"26975"	"655"	"100"
"26976"	"718"	"60"
"26977"	"182"	"80"
"26978"	"281"	"60"
"26979"	"37"	"60"
"26980"	"113"	"100"
"26981"	"467"	"100"
"26982"	"37"	"60"
"26983"	"63"	"60"
"26984"	"698"	"100"
"26985"	"754"	"90"
"26986"	"413"	"100"
"26987"	"671"	"100"
"26988"	"614"	"100"
"26989"	"114"	"100"
"26990"	"663"	"60"
"26991"	"386"	"100"
