"source"	"target"	"type"	"subtype"
"33167"	"44662"	"5"	""
"30850"	"30851"	"2"	""
"30851"	"30852"	"5"	""
"26412"	"38828"	"2"	""
"29889"	"47770"	"2"	""
"45871"	"42119"	"5"	""
"39925"	"47795"	"2"	""
"42130"	"47787"	"2"	""
"47785"	"47784"	"2"	""
"42180"	"42181"	"2"	""
"42131"	"47783"	"2"	""
"42253"	"47826"	"2"	""
"42128"	"47822"	"2"	""
"42125"	"47782"	"2"	""
"42125"	"42124"	"1"	""
"42126"	"47791"	"2"	""
"42127"	"47793"	"2"	""
"47825"	"42157"	"2"	""
"47810"	"42117"	"2"	""
"47805"	"42121"	"2"	""
"47802"	"47805"	"2"	""
"42118"	"47812"	"2"	""
"42162"	"42163"	"2"	""
"42163"	"47796"	"2"	""
"42122"	"47820"	"2"	""
"39284"	"39291"	"1"	""
"29766"	"44430"	"2"	""
"29766"	"31222"	"1"	"7"
"29766"	"44431"	"1"	"2"
"29766"	"42379"	"1"	"7"
"36558"	"54935"	"2"	""
"29894"	"30712"	"2"	""
"29816"	"38503"	"5"	""
"38503"	"38782"	"5"	""
"47832"	"47833"	"1"	"4"
"47832"	"47833"	"1"	"7"
"27889"	"40183"	"2"	""
"27889"	"40185"	"1"	"4"
"29900"	"40476"	"1"	"2"
"27771"	"47842"	"2"	""
"37233"	"47845"	"2"	""
"33373"	"33380"	"5"	""
"33380"	"33423"	"5"	""
"35187"	"33384"	"5"	""
"33384"	"33453"	"5"	""
"30554"	"47844"	"2"	""
"47848"	"47786"	"1"	"4"
"29656"	"30291"	"1"	""
"30500"	"47709"	"5"	""
"47097"	"47738"	"1"	"4"
"27957"	"39961"	"4"	""
"27957"	"39962"	"1"	""
"28444"	"40483"	"4"	""
"28444"	"40485"	"1"	""
"47869"	"47870"	"1"	""
"29900"	"47871"	"4"	"10"
"29474"	"33644"	"4"	""
"33644"	"31443"	"1"	""
"29659"	"34263"	"1"	"4"
"42463"	"47874"	"4"	""
"42463"	"47875"	"1"	"4"
"40479"	"27161"	"4"	""
"47899"	"40480"	"2"	""
"47882"	"26946"	"4"	"10"
"47882"	"47883"	"4"	"10"
"27789"	"47884"	"4"	"10"
"29265"	"31028"	"1"	"4"
"29265"	"40722"	"1"	""
"29265"	"40719"	"1"	"2"
"39284"	"28446"	"4"	""
"39284"	"30241"	"1"	""
"31028"	"40891"	"5"	""
"42060"	"47892"	"1"	""
"41992"	"44259"	"1"	""
"26873"	"32587"	"2"	""
"26873"	"47684"	"1"	"4"
"47684"	"47682"	"2"	""
"51112"	"50341"	"1"	"4"
"29840"	"41103"	"4"	""
"40479"	"47899"	"2"	""
"29702"	"33309"	"2"	""
"34371"	"34372"	"5"	""
"42589"	"47904"	"1"	"2"
"27377"	"47905"	"2"	""
"47905"	"47906"	"5"	""
"28539"	"47907"	"1"	"1"
"33109"	"47910"	"4"	""
"28539"	"47912"	"4"	""
"27122"	"29998"	"2"	""
"29998"	"29999"	"2"	""
"29316"	"39805"	"5"	""
"29316"	"39806"	"2"	""
"29316"	"39351"	"2"	""
"29316"	"42509"	"2"	""
"47903"	"47918"	"1"	""
"26727"	"39102"	"1"	"2"
"26727"	"39099"	"1"	"2"
"26727"	"39426"	"1"	"2"
"26727"	"40456"	"1"	"2"
"29316"	"42726"	"2"	""
"29316"	"39350"	"1"	"4"
"29316"	"40841"	"1"	"4"
"29316"	"39348"	"1"	"4"
"29316"	"39352"	"1"	"4"
"29316"	"39349"	"1"	"4"
"47921"	"39589"	"1"	"4"
"26957"	"38701"	"5"	""
"26957"	"38677"	"1"	"2"
"26957"	"38676"	"1"	""
"26957"	"38842"	"1"	""
"29628"	"39414"	"2"	""
"26604"	"30093"	"2"	""
"30093"	"30094"	"2"	""
"30109"	"26408"	"2"	""
"35476"	"39436"	"1"	"6"
"33615"	"34887"	"5"	""
"33615"	"38430"	"1"	""
"30472"	"30473"	"1"	"2"
"29836"	"41118"	"5"	""
"29836"	"41119"	"2"	""
"26537"	"40865"	"1"	""
"26537"	"41893"	"1"	""
"40673"	"40674"	"1"	"4"
"40674"	"47932"	"1"	"4"
"28327"	"38357"	"1"	""
"28327"	"38691"	"1"	""
"28327"	"38359"	"1"	""
"27309"	"30790"	"1"	"7"
"27309"	"30793"	"1"	"4"
"27730"	"39298"	"1"	""
"31436"	"47943"	"1"	"4"
"26891"	"47944"	"1"	"4"
"26891"	"47945"	"1"	"4"
"31436"	"32700"	"1"	"4"
"32815"	"45066"	"5"	""
"32815"	"33056"	"1"	"4"
"31845"	"42417"	"5"	""
"31845"	"42419"	"5"	""
"40232"	"40233"	"1"	"4"
"29075"	"47948"	"5"	""
"41176"	"41177"	"5"	""
"26352"	"40478"	"5"	""
"28006"	"41561"	"5"	""
"28006"	"41436"	"1"	"4"
"28006"	"41560"	"1"	"4"
"47950"	"40838"	"1"	"4"
"47951"	"40923"	"1"	"4"
"34491"	"47952"	"4"	""
"34491"	"47953"	"2"	""
"34491"	"47954"	"2"	""
"34491"	"47955"	"4"	""
"47955"	"47959"	"5"	""
"34491"	"47960"	"4"	""
"34491"	"47961"	"4"	""
"47968"	"34492"	"4"	""
"34492"	"47956"	"2"	""
"34492"	"47957"	"5"	""
"47968"	"47958"	"1"	""
"34491"	"47962"	"1"	""
"34491"	"47963"	"1"	""
"47963"	"47964"	"3"	""
"47963"	"47965"	"3"	""
"47963"	"47966"	"4"	""
"47968"	"34491"	"4"	""
"28465"	"41540"	"5"	""
"28485"	"42520"	"5"	""
"28485"	"44439"	"2"	""
"28485"	"42521"	"2"	""
"28485"	"42523"	"2"	""
"28485"	"42524"	"2"	""
"28485"	"42522"	"1"	"2"
"28485"	"44250"	"1"	"2"
"42521"	"44440"	"1"	"1"
"28519"	"38615"	"1"	"2"
"28519"	"42532"	"1"	"2"
"28519"	"42533"	"1"	"4"
"28519"	"44299"	"1"	"2"
"28519"	"42534"	"1"	""
"28519"	"44192"	"1"	"4"
"34911"	"34918"	"5"	""
"34911"	"40763"	"1"	""
"29222"	"44730"	"4"	""
"44730"	"44691"	"5"	""
"29222"	"44693"	"1"	"4"
"29625"	"33829"	"5"	""
"33829"	"41660"	"2"	""
"29625"	"42069"	"4"	"8"
"29625"	"42063"	"2"	""
"29625"	"33889"	"2"	""
"29625"	"33833"	"2"	""
"33833"	"42073"	"2"	""
"33833"	"42064"	"2"	""
"42064"	"42065"	"2"	""
"29625"	"42070"	"2"	""
"33829"	"42066"	"2"	""
"29625"	"42071"	"2"	""
"29625"	"41683"	"1"	"2"
"41683"	"41664"	"5"	""
"41683"	"42074"	"4"	""
"29625"	"41673"	"2"	""
"33833"	"42067"	"1"	""
"29625"	"34727"	"1"	""
"41683"	"42075"	"1"	""
"41664"	"41674"	"1"	""
"41674"	"45647"	"5"	""
"29625"	"42072"	"1"	""
"29625"	"42068"	"1"	""
"29798"	"42693"	"5"	""
"42693"	"42694"	"1"	""
"42693"	"42695"	"1"	""
"29798"	"42696"	"1"	""
"29798"	"42697"	"1"	""
"26297"	"45176"	"4"	""
"26297"	"43000"	"5"	""
"31850"	"42384"	"5"	""
"40521"	"42387"	"5"	""
"40521"	"42388"	"5"	""
"31252"	"26316"	"1"	""
"26316"	"33471"	"2"	""
"33471"	"38888"	"2"	""
"26316"	"33472"	"1"	""
"33472"	"38418"	"5"	""
"38418"	"38419"	"4"	""
"42586"	"42585"	"1"	""
"26427"	"42586"	"1"	""
"44210"	"26742"	"5"	""
"26742"	"33796"	"2"	""
"44210"	"40717"	"1"	""
"27018"	"37581"	"1"	"4"
"32837"	"50232"	"1"	"4"
"26823"	"33253"	"1"	"2"
"26823"	"46201"	"1"	""
"47889"	"42358"	"1"	""
"32837"	"50227"	"5"	""
"32073"	"41799"	"1"	"7"
"32073"	"41798"	"1"	"4"
"32804"	"50819"	"5"	""
"38694"	"50818"	"5"	""
"50817"	"38694"	"1"	"4"
"38420"	"38696"	"5"	""
"27988"	"38420"	"1"	"4"
"37857"	"37665"	"1"	"4"
"37668"	"50815"	"5"	""
"37667"	"50814"	"5"	""
"47916"	"42557"	"2"	""
"47917"	"42558"	"2"	""
"42555"	"47914"	"2"	""
"42555"	"46007"	"2"	""
"27058"	"43075"	"5"	""
"27058"	"33942"	"1"	""
"33942"	"39712"	"4"	""
"39712"	"39714"	"4"	""
"33942"	"39717"	"5"	""
"39717"	"39718"	"5"	""
"27058"	"41643"	"1"	""
"42556"	"47915"	"2"	""
