"id"	"usagenote"	"POS"	"phraseolstruc"	"embededlex"	"othercharac"
"26783"	""	"19"	""	""	""
"26784"	""	"19"	""	""	""
"26785"	""	"19"	""	""	""
"26786"	""	"20"	""	""	"(26)"
"26787"	"(10)"	"23"	""	""	""
"26788"	""	"20"	""	""	"(26)"
"26789"	""	"23"	""	""	""
"26790"	""	"20"	""	""	"(28)"
"26791"	""	"20"	""	""	"(26,131)"
"26792"	""	"20"	""	""	"(26)"
"26793"	""	"20"	""	""	"(28)"
"26794"	""	"20"	""	""	"(26)"
"26795"	""	"20"	""	""	"(28)"
"26796"	""	"20"	""	""	"(26)"
"26797"	""	"20"	""	""	"(26)"
"26798"	""	"20"	""	""	"(26)"
"26799"	""	"20"	""	""	"(28)"
"26800"	""	"20"	""	""	""
"26801"	""	"20"	""	""	"(28)"
"26802"	""	"20"	""	""	"(28)"
"26803"	""	"20"	""	""	"(28)"
"26804"	""	"20"	""	""	"(28)"
"26805"	""	"20"	""	""	"(28)"
"26806"	""	"23"	""	""	""
"26807"	""	"23"	""	""	""
"26808"	""	"20"	""	""	"(28)"
"26809"	""	"20"	""	""	"(26)"
"26810"	""	"20"	""	""	"(28)"
"26811"	""	"23"	""	""	""
"26812"	""	"23"	""	""	""
"26813"	""	"20"	""	""	"(28)"
"26814"	""	"20"	""	""	"(26)"
"26815"	""	"20"	""	""	"(28,44)"
"26816"	""	"23"	""	""	""
"26817"	""	"20"	""	""	"(26)"
"26818"	""	"19"	""	""	""
"26819"	""	"20"	""	""	"(26)"
"26820"	""	"20"	""	""	"(28)"
"26821"	""	"20"	""	""	"(28)"
"26822"	""	"23"	""	""	""
"26823"	""	"20"	""	""	"(28)"
"26824"	""	"20"	""	""	"(26)"
"26825"	""	"20"	""	""	"(26)"
"26826"	""	"20"	""	""	"(26)"
"26827"	""	"20"	""	""	"(26)"
"26828"	""	"23"	""	""	""
"26829"	""	"63"	""	""	""
"26830"	""	"19"	""	""	""
"26831"	""	"23"	""	""	""
"26832"	""	"63"	""	""	""
"26833"	""	"23"	""	""	""
"26834"	""	"63"	""	""	""
"26835"	""	"23"	""	""	""
"26836"	""	"20"	""	""	"(28)"
"26837"	""	"23"	""	""	""
"26838"	""	"19"	""	""	""
"26839"	""	"20"	""	""	"(26)"
"26840"	""	"23"	""	""	""
"26841"	""	"20"	""	""	"(26)"
"26842"	""	"20"	""	""	"(28)"
"26843"	""	"23"	""	""	""
"26844"	""	"23"	""	""	""
"26845"	""	"20"	""	""	"(26)"
"26846"	""	"20"	""	""	"(26)"
"26847"	""	"19"	""	""	""
"26848"	""	"20"	""	""	"(28)"
"26849"	""	"19"	""	""	""
"26850"	""	"20"	""	""	"(28)"
"26851"	""	"19"	""	""	""
"26852"	""	"20"	""	""	"(28)"
"26853"	""	"24"	""	""	""
"26854"	""	"23"	""	""	""
"26855"	""	"23"	""	""	""
"26856"	""	"20"	""	""	"(28)"
"26857"	""	"20"	""	""	"(28)"
"26858"	""	"20"	""	""	"(28)"
"26859"	""	"23"	""	""	""
"26860"	""	"23"	""	""	""
"26861"	""	"20"	""	""	"(28)"
"26862"	""	"23"	""	""	""
"26863"	""	"20"	""	""	"(28)"
"26864"	""	"20"	""	""	"(26)"
"26865"	""	"23"	""	""	""
"26866"	""	"23"	""	""	""
"26867"	""	"23"	""	""	""
"26868"	""	"20"	""	""	"(26)"
"26869"	""	"23"	""	""	""
"26870"	""	"20"	""	""	"(26)"
"26871"	""	"20"	""	""	"(26)"
"26872"	""	"23"	""	""	""
"26873"	""	"23"	""	""	""
"26874"	""	"20"	""	""	"(26)"
"26875"	""	"20"	""	""	"(28)"
"26876"	""	"23"	""	""	""
"26877"	""	"20"	""	""	"(28)"
"26878"	""	"23"	""	""	""
"26879"	""	"20"	""	""	"(28)"
"26880"	""	"23"	""	""	""
"26881"	""	"20"	""	""	"(28)"
"26882"	""	"20"	""	""	"(28)"
