"source"	"lf"	"target"	"form"	"separator"	"merged"	"syntacticframe"	"constraint"	"position"
"26226"	"21"	"31510"	"affrontement"	","	"0"	""	""	"1"
"26227"	"107"	"31515"	"agacé"	","	"0"	""	""	"1"
"26227"	"353"	"31517"	"agaçant"	","	"0"	""	""	"1"
"26227"	"9"	"31933"	"s’agacer"	","	"0"	""	""	"1"
"26227"	"354"	"33614"	""	","	"0"	""	""	"1"
"26227"	"3"	"27294"	""	","	"0"	""	""	"1"
"26227"	"3"	"45452"	""	","	"0"	""	""	"2"
"26227"	"3"	"40528"	""	","	"0"	""	""	"3"
"26227"	"5"	"54354"	""	","	"0"	""	""	"1"
"26228"	"104"	"26229"	""	","	"0"	"de N=$2"	""	"1"
"26228"	"106"	"33616"	""	","	"0"	""	""	"1"
"26229"	"3"	"49579"	""	","	"0"	""	""	"1"
"26230"	"16"	"48942"	""	","	"0"	""	""	"1"
"26231"	"104"	"31519"	"aggravant"	","	"0"	""	""	"1"
"26231"	"21"	"31521"	"aggravation"	","	"0"	""	""	"1"
"26232"	"366"	"31439"	"agilité"	","	"0"	""	""	"1"
"26232"	"29"	"31442"	""	","	"0"	""	""	"1"
"26233"	"104"	"32440"	""	","	"0"	""	""	"1"
"26234"	"3"	"45430"	""	","	"0"	""	""	"1"
"26235"	"387"	"36355"	""	","	"0"	""	""	"1"
"26235"	"30"	"31731"	""	","	"0"	"d’~s"	""	"1"
"26235"	"30"	"32552"	""	","	"0"	"d’~s"	""	"2"
"26236"	"10"	"27080"	""	","	"0"	""	""	"1"
"26236"	"29"	"31453"	""	","	"0"	""	""	"1"
"26237"	"31"	"31455"	""	","	"0"	""	""	"1"
"26237"	"31"	"34846"	""	","	"0"	""	""	"2"
"26237"	"40"	"31456"	""	","	"0"	""	""	"1"
"26237"	"40"	"31457"	""	","	"0"	""	""	"2"
"26237"	"107"	"31462"	""	","	"0"	""	""	"1"
"26237"	"109"	"31463"	""	","	"0"	""	""	"1"
"26237"	"21"	"31459"	""	","	"0"	""	""	"1"
"26238"	"28"	"31468"	"agricole"	","	"0"	""	""	"1"
"26238"	"31"	"31470"	"agriculteur"	","	"0"	""	""	"1"
"26238"	"31"	"31471"	"agricultrice"	","	"0"	""	""	"2"
"26239"	"3"	"28554"	""	","	"0"	""	""	"1"
"26239"	"3"	"47997"	""	";"	"0"	""	""	"2"
"26240"	"23"	"26241"	""	","	"0"	""	""	"1"
"26240"	"30"	"29964"	""	","	"0"	""	""	"1"
"26240"	"30"	"32453"	""	","	"0"	""	""	"2"
"26241"	"21"	"26240"	""	","	"0"	""	""	"1"
"26241"	"330"	"31479"	""	","	"0"	""	""	"1"
"26241"	"30"	"32453"	""	","	"0"	""	""	"1"
"26241"	"30"	"29964"	""	","	"0"	""	""	"2"
"26242"	"5"	"33603"	""	","	"0"	""	""	"1"
"26242"	"13"	"33619"	""	","	"0"	""	""	"1"
"26243"	"37"	"39750"	""	","	"0"	""	""	"1"
"26243"	"37"	"39751"	""	","	"0"	""	""	"2"
"26243"	"3"	"27361"	""	","	"0"	""	""	"1"
"26244"	"30"	"32875"	""	","	"0"	""	""	"1"
"26244"	"30"	"32876"	""	","	"0"	""	""	"2"
"26245"	"28"	"37145"	""	","	"0"	""	""	"1"
"26245"	"228"	"41658"	""	","	"0"	"de ART ~s"	""	"1"
"26245"	"228"	"29871"	""	","	"1"	""	""	"2"
"26245"	"228"	"28815"	""	";"	"1"	""	""	"3"
"26245"	"446"	"39722"	""	","	"0"	"Aposs ~s"	""	"1"
"26246"	"3"	"48647"	""	";"	"0"	""	""	"1"
"26246"	"3"	"33074"	""	","	"0"	""	""	"2"
"26246"	"3"	"28672"	""	","	"0"	""	""	"3"
"26246"	"3"	"27862"	""	";"	"0"	""	""	"4"
"26246"	"3"	"48295"	""	","	"0"	""	""	"5"
"26246"	"3"	"47493"	""	","	"0"	""	""	"6"
"26246"	"3"	"28158"	""	","	"0"	""	""	"7"
"26246"	"3"	"28941"	""	","	"0"	""	""	"8"
"26246"	"3"	"29893"	""	";"	"0"	""	""	"9"
"26246"	"16"	"27862"	""	","	"0"	""	""	"1"
"26246"	"16"	"28065"	""	";"	"0"	""	""	"2"
"26246"	"12"	"28526"	""	","	"0"	""	""	"1"
"26247"	"366"	"31483"	"amabilité"	","	"0"	""	""	"1"
"26247"	"29"	"31484"	""	","	"0"	""	""	"1"
"26247"	"3"	"27686"	""	","	"0"	""	""	"1"
"26248"	"21"	"26292"	""	","	"0"	""	""	"1"
"26248"	"104"	"26293"	""	","	"0"	""	""	"1"
"26248"	"161"	"31486"	""	","	"1"	""	""	"1"
"26248"	"31"	"32456"	""	","	"0"	""	""	"1"
"26248"	"31"	"32454"	""	","	"0"	""	""	"2"
"26248"	"69"	"48634"	""	","	"0"	""	""	"1"
"26248"	"447"	"53136"	""	","	"0"	""	""	"1"
"26249"	"9"	"32245"	""	","	"0"	""	""	"1"
"26249"	"21"	"31491"	""	","	"0"	""	""	"1"
"26249"	"594"	"32239"	""	","	"0"	""	""	"1"
"26249"	"594"	"32240"	""	","	"0"	""	""	"2"
"26249"	"40"	"32244"	""	";"	"0"	""	""	"1"
"26249"	"40"	"32458"	""	","	"0"	""	""	"2"
"26249"	"40"	"32457"	""	","	"0"	""	""	"3"
"26249"	"40"	"32242"	""	","	"0"	""	""	"4"
"26251"	"28"	"31532"	"aérien"	","	"0"	""	""	"1"
"26252"	"20"	"29538"	""	","	"0"	""	""	"1"
"26253"	"3"	"53679"	""	","	"0"	""	""	"1"
"26253"	"3"	"32049"	""	","	"0"	""	""	"2"
"26254"	"21"	"32253"	""	","	"0"	""	""	"1"
"26255"	"21"	"31542"	"ajustement"	","	"0"	""	""	"1"
"26255"	"3"	"26200"	""	","	"0"	""	""	"1"
"26255"	"3"	"39031"	""	";"	"0"	""	""	"2"
"26255"	"111"	"31545"	""	","	"0"	""	""	"1"
"26256"	"4"	"29408"	""	","	"0"	""	""	"1"
"26257"	"3"	"48982"	""	","	"0"	""	""	"1"
"26258"	"4"	"41212"	""	","	"0"	""	""	"1"
"26259"	"387"	"31729"	"alcoolique"	","	"0"	""	""	"1"
"26259"	"387"	"41578"	""	","	"0"	""	""	"2"
"26259"	"288"	"32067"	""	","	"0"	""	""	"1"
"26259"	"3"	"28007"	""	","	"0"	""	""	"1"
"26259"	"3"	"42007"	""	","	"0"	""	""	"2"
"26259"	"3"	"42008"	""	","	"0"	""	""	"3"
"26259"	"3"	"41938"	""	","	"0"	""	""	"4"
"26259"	"3"	"41939"	""	","	"0"	""	""	"5"
"26259"	"3"	"41940"	""	","	"0"	""	""	"6"
"26259"	"3"	"41835"	""	","	"0"	""	""	"7"
"26259"	"3"	"41944"	""	","	"0"	""	""	"8"
"26259"	"3"	"41945"	""	","	"0"	""	""	"9"
"26259"	"125"	"41962"	""	","	"0"	""	"postpos"	"1"
"26259"	"125"	"41964"	""	","	"0"	""	"postpos"	"2"
"26259"	"2"	"41577"	""	","	"0"	""	""	"1"
"26260"	"3"	"26256"	""	","	"0"	""	""	"1"
"26260"	"3"	"29408"	""	","	"0"	""	""	"2"
"26261"	"3"	"31551"	""	","	"0"	""	""	"1"
"26262"	"20"	"28817"	""	","	"0"	""	""	"1"
"26262"	"63"	"50543"	""	","	"0"	""	""	"1"
"26262"	"63"	"28324"	""	","	"0"	""	""	"2"
"26262"	"63"	"51387"	""	";"	"0"	""	""	"3"
"26263"	"3"	"34520"	""	","	"0"	""	""	"1"
"26264"	"23"	"32272"	""	","	"0"	""	""	"1"
"26264"	"28"	"31549"	""	","	"0"	""	""	"1"
"26267"	"10"	"45689"	""	","	"0"	""	""	"1"
"26268"	"3"	"29191"	""	","	"0"	""	""	"1"
"26268"	"3"	"38268"	""	","	"0"	""	""	"2"
