"id"	"example"	"occurrence"	"position"	"%"
"26355"	"1193"	"50,61;"	"1"	"100"
"26355"	"2996"	"62,67;"	"2"	"100"
"26355"	"17204"	"194,200;"	"3"	"100"
"26356"	"549"	"170,176;"	"0"	"100"
"26357"	"3812"	"19,26;"	"0"	"100"
"26357"	"5520"	"26,33;"	"1"	"100"
"26357"	"4785"	"176,181;"	"2"	"100"
"26357"	"13140"	"116,123;"	"3"	"100"
"26357"	"6019"	"26,31;"	"5"	"100"
"26357"	"3971"	"73,82;"	"6"	"100"
"26357"	"564"	"21,26;"	"7"	"100"
"26357"	"2616"	"64,75;"	"8"	"100"
"26357"	"7469"	"127,134;"	"9"	"100"
"26358"	"16715"	"32,34;"	"0"	"100"
"26359"	"8159"	"78,85;"	"0"	"100"
"26360"	"4591"	"229,241;"	"0"	"100"
"26361"	"1102"	"18,26;"	"0"	"100"
"26361"	"1663"	"185,193;"	"1"	"100"
"26361"	"5292"	"95,103;"	"2"	"100"
"26361"	"5588"	"18,26;"	"3"	"100"
"26361"	"5636"	"33,41;"	"4"	"100"
"26361"	"9049"	"46,54;"	"5"	"100"
"26361"	"21660"	"30,38;"	"6"	"100"
"26362"	"5021"	"121,129;"	"0"	"100"
"26363"	"3469"	"34,39;"	"0"	"100"
"26364"	"1307"	"32,41;"	"0"	"100"
"26364"	"969"	"95,104;"	"1"	"100"
"26364"	"1326"	"136,145;197,206;"	"2"	"100"
"26364"	"983"	"181,190;"	"3"	"100"
"26364"	"1311"	"280,289;408,417;"	"4"	"100"
"26364"	"1305"	"86,95;"	"5"	"100"
"26364"	"1314"	"80,89;"	"6"	"100"
"26364"	"1318"	"121,130;"	"7"	"100"
"26364"	"1331"	"52,61;"	"8"	"100"
"26365"	"1311"	"419,424;"	"0"	"100"
"26365"	"1659"	"147,153;"	"1"	"100"
"26366"	"8005"	"135,144;"	"0"	"100"
"26367"	"10394"	"77,84;134,141;"	"0"	"100"
"26368"	"3551"	"220,224;"	"0"	"100"
"26369"	"9791"	"30,37;143,150;"	"0"	"100"
"26369"	"9792"	"24,31;"	"1"	"100"
"26369"	"8755"	"53,61;"	"2"	"100"
"26369"	"9793"	"76,83;"	"3"	"100"
"26369"	"9794"	"42,49;113,120;136,143;"	"4"	"100"
"26369"	"9795"	"167,175;"	"5"	"100"
"26369"	"9796"	"118,125;"	"6"	"100"
"26369"	"9797"	"223,230;"	"7"	"100"
"26369"	"9799"	"127,134;"	"8"	"100"
"26370"	"13753"	"45,49;"	"0"	"100"
"26370"	"139"	"100,106;"	"1"	"100"
"26370"	"5247"	"25,29;"	"2"	"100"
"26370"	"18740"	"161,165;"	"3"	"100"
"26370"	"18741"	"327,331;"	"4"	"100"
"26370"	"5724"	"132,136;"	"5"	"100"
"26370"	"6952"	"81,85;"	"6"	"100"
"26370"	"10529"	"78,82;"	"7"	"100"
"26370"	"18745"	"285,289;"	"8"	"100"
"26370"	"10347"	"115,119;"	"9"	"100"
"26370"	"11735"	"337,341;"	"10"	"100"
"26370"	"13780"	"171,175;"	"11"	"100"
"26371"	"2430"	"37,44;"	"0"	"100"
"26372"	"15921"	"298,305;"	"0"	"100"
"26373"	"2428"	"204,209;"	"0"	"100"
"26374"	"13626"	"104,110;"	"0"	"100"
"26375"	"7445"	"88,94;"	"0"	"100"
"26376"	"1867"	"226,231;"	"0"	"100"
"26377"	"6186"	"250,257;"	"0"	"100"
"26378"	"2909"	"129,136;"	"0"	"100"
"26379"	"3589"	"38,46;"	"0"	"100"
"26379"	"4785"	"95,103;"	"1"	"100"
"26379"	"2356"	"153,161;"	"2"	"100"
"26379"	"10135"	"128,136;"	"3"	"100"
"26380"	"17378"	"205,215;"	"0"	"100"
"26381"	"16809"	"104,112;"	"0"	"100"
"26383"	"6717"	"68,76;"	"0"	"100"
"26384"	"4189"	"56,64;"	"0"	"100"
"26385"	"4326"	"68,75;"	"0"	"100"
"26386"	"22368"	"28,33;"	"0"	"100"
"26387"	"6875"	"187,194;"	"0"	"100"
"26387"	"1434"	"49,56;"	"1"	"100"
"26387"	"13075"	"25,32;"	"2"	"100"
"26387"	"13078"	"36,43;"	"3"	"100"
"26387"	"13079"	"56,63;"	"4"	"100"
"26387"	"13081"	"251,258;"	"5"	"100"
"26387"	"13085"	"110,117;"	"6"	"100"
"26387"	"13086"	"171,179;"	"7"	"100"
"26387"	"13088"	"115,122;"	"8"	"100"
"26388"	"2465"	"52,58;"	"0"	"100"
"26389"	"1802"	"63,69;"	"0"	"100"
"26389"	"2402"	"90,97;"	"1"	"100"
"26389"	"11084"	"147,153;"	"2"	"100"
"26390"	"18252"	"16,24;"	"0"	"100"
"26392"	"1176"	"110,114;"	"0"	"100"
"26393"	"21839"	"194,201;"	"0"	"100"
"26394"	"11525"	"33,41;"	"0"	"100"
"26395"	"3554"	"91,101;"	"0"	"100"
"26395"	"3655"	"63,73;"	"1"	"100"
"26395"	"8631"	"58,68;"	"2"	"100"
"26396"	"2503"	"171,180;"	"0"	"100"
"26396"	"5471"	"50,59;"	"1"	"100"
"26397"	"148"	"209,214;"	"0"	"100"
"26398"	"79"	"187,191;"	"0"	"100"
"26399"	"543"	"60,67;"	"0"	"100"
"26400"	"2621"	"34,39;56,61;"	"0"	"100"
"26401"	"19635"	"25,31;"	"0"	"100"
"26402"	"6123"	"30,40;"	"0"	"100"
"26403"	"2598"	"121,124;144,147;215,218;"	"0"	"100"
"26403"	"2600"	"58,61;"	"1"	"100"
"26403"	"2602"	"58,61;"	"2"	"100"
"26403"	"2604"	"193,196;"	"3"	"100"
"26403"	"2608"	"30,33;"	"4"	"100"
"26403"	"2619"	"137,140;"	"5"	"100"
"26403"	"2622"	"78,81;"	"6"	"100"
"26403"	"2624"	"114,118;"	"7"	"100"
"26403"	"2633"	"77,80;"	"8"	"100"
"26403"	"2627"	"46,49;"	"9"	"100"
"26403"	"2629"	"139,142;"	"10"	"100"
"26403"	"2630"	"39,42;"	"11"	"100"
"26403"	"560"	"66,69;"	"12"	"100"
"26404"	"4763"	"120,126;"	"0"	"100"
"26404"	"4764"	"55,61;"	"1"	"100"
"26404"	"4765"	"40,46;"	"2"	"100"
"26404"	"1175"	"18,24;"	"3"	"100"
"26404"	"4769"	"94,100;"	"4"	"100"
"26404"	"4768"	"35,41;"	"5"	"100"
"26404"	"4770"	"20,26;"	"6"	"100"
"26404"	"4771"	"154,160;"	"7"	"100"
"26404"	"4772"	"30,36;"	"8"	"100"
"26404"	"4773"	"73,79;"	"9"	"100"
"26404"	"1021"	"80,86;"	"10"	"100"
"26404"	"2734"	"183,189;"	"11"	"100"
"26404"	"2737"	"76,82;"	"12"	"100"
"26405"	"4819"	"152,158;"	"0"	"100"
"26405"	"4822"	"47,53;"	"1"	"100"
"26405"	"4824"	"43,49;"	"2"	"100"
"26405"	"4826"	"50,56;"	"3"	"100"
"26405"	"4767"	"43,49;"	"4"	"100"
"26405"	"4829"	"39,46;"	"5"	"100"
"26405"	"4830"	"90,96;"	"6"	"100"
"26405"	"4831"	"19,25;"	"7"	"100"
"26405"	"4832"	"33,39;"	"8"	"100"
"26405"	"4833"	"29,35;"	"9"	"100"
"26406"	"25377"	"100,110;"	"0"	"100"
"26407"	"4571"	"85,91;"	"0"	"100"
"26408"	"3325"	"195,204;"	"0"	"100"
"26408"	"3329"	"38,47;"	"1"	"100"
"26408"	"3332"	"100,109;"	"2"	"100"
"26408"	"3336"	"63,72;"	"3"	"100"
"26408"	"3340"	"18,27;"	"4"	"100"
"26408"	"3342"	"18,27;"	"5"	"100"
"26408"	"21073"	"18,27;"	"6"	"100"
"26408"	"3346"	"82,91;"	"7"	"100"
"26408"	"2659"	"173,182;"	"8"	"100"
"26408"	"3352"	"59,68;"	"9"	"100"
"26408"	"3356"	"32,41;"	"10"	"100"
"26408"	"21074"	"51,60;"	"11"	"100"
"26409"	"5878"	"140,148;"	"0"	"100"
"26410"	"19797"	"21,28;"	"0"	"100"
"26410"	"13362"	"193,202;"	"1"	"100"
"26410"	"21497"	"67,77;"	"2"	"100"
"26410"	"8860"	"132,145;"	"3"	"100"
"26411"	"8664"	"99,106;"	"0"	"100"
"26412"	"279"	"43,51;"	"0"	"100"
"26412"	"280"	"45,53;"	"1"	"100"
"26412"	"281"	"324,332;"	"2"	"100"
"26412"	"951"	""	"3"	"100"
"26412"	"953"	"105,113;"	"4"	"100"
"26412"	"963"	"111,119;"	"5"	"100"
"26412"	"964"	"146,155;"	"6"	"100"
"26412"	"967"	"39,47;"	"7"	"100"
"26412"	"955"	"18,26;"	"8"	"100"
"26412"	"956"	"92,100;"	"9"	"100"
"26412"	"958"	"63,71;"	"10"	"100"
"26412"	"960"	"20,28;"	"11"	"100"
"26412"	"962"	"89,97;"	"12"	"100"
"26412"	"972"	"187,195;"	"13"	"100"
"26413"	"5707"	"153,158;"	"0"	"100"
"26413"	"1547"	"106,111;"	"1"	"100"
"26413"	"4169"	"60,65;"	"2"	"100"
"26413"	"10271"	"139,144;"	"3"	"100"
"26413"	"8021"	"264,269;"	"4"	"100"
"26413"	"188"	"118,123;"	"5"	"100"
"26413"	"3935"	"47,52;"	"6"	"100"
"26413"	"4876"	"204,209;"	"7"	"100"
"26413"	"12417"	"107,112;"	"8"	"100"
"26413"	"21162"	"298,303;"	"9"	"100"
"26413"	"23958"	"90,95;"	"10"	"100"
"26414"	"13216"	"189,194;"	"0"	"100"
"26415"	"1279"	"32,40;"	"0"	"100"
"26415"	"7692"	"59,67;"	"1"	"100"
"26416"	"1558"	"111,119;"	"0"	"100"
"26417"	"8019"	"52,56;"	"0"	"100"
"26418"	"868"	"33,39;"	"0"	"100"
"26418"	"6095"	"124,131;"	"1"	"100"
"26418"	"16164"	"27,32;"	"2"	"100"
"26418"	"882"	"193,198;"	"3"	"100"
"26418"	"16173"	"205,210;"	"4"	"100"
"26418"	"2318"	"21,27;"	"6"	"100"
"26418"	"16194"	"455,462;"	"7"	"100"
"26418"	"16158"	"65,71;"	"8"	"100"
"26420"	"18237"	"214,221;"	"0"	"100"
"26420"	"21454"	"327,334;"	"1"	"100"
"26421"	"25415"	"202,210;"	"0"	"100"
"26422"	"6918"	"97,106;"	"0"	"100"
"26422"	"9168"	"16,25;"	"1"	"100"
"26423"	"485"	"201,204;"	"0"	"100"
"26423"	"506"	"84,87;"	"1"	"100"
"26423"	"1836"	"180,183;"	"2"	"100"
"26423"	"464"	"78,81;"	"3"	"100"
"26423"	"738"	"89,92;"	"4"	"100"
"26423"	"2925"	"41,44;"	"5"	"100"
"26423"	"931"	"127,130;"	"6"	"100"
"26423"	"379"	"114,117;"	"7"	"100"
"26423"	"797"	"74,77;"	"8"	"100"
"26424"	"2080"	"86,91;"	"0"	"100"
"26425"	"11952"	"83,90;"	"0"	"100"
"26425"	"24867"	"126,134;"	"1"	"100"
"26426"	"1182"	"71,77;"	"0"	"100"
"26426"	"7679"	"165,170;"	"1"	"100"
"26427"	"938"	"180,185;"	"0"	"100"
"26427"	"9051"	"161,167;"	"1"	"100"
"26427"	"9507"	"112,117;"	"2"	"100"
"26427"	"9508"	"150,155;"	"3"	"100"
"26427"	"9509"	"322,328;"	"4"	"100"
"26427"	"9510"	"63,68;"	"5"	"100"
"26427"	"9511"	"370,376;"	"6"	"100"
"26427"	"6133"	"148,153;"	"7"	"100"
"26427"	"9512"	"315,321;"	"8"	"100"
