"id"	"propform"	"tildevalue"	"%"	"actantslist"
"26371"	"$1 ~ $2"	"assiste"	"100"	"($1=X,$2=Y)"
"26373"	"$1 ~ à $2 que $3"	"assure"	"100"	"($1=X,$2=Y,$3=Z)"
"26375"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26376"	"$1 qui est ~"	""	"100"	"($1=X)"
"26377"	"$1 ~ $2"	" attache "	"100"	"($1=X,$2=Y)"
"26378"	"$1 ~ $2"	"attaque"	"100"	"($1=X,$2=Y)"
"26380"	"$1 ~ $2"	"attend"	"100"	"($1=X,$2=Y)"
"26383"	"~ de $1 contre $2"	""	"100"	"($1=X,$2=Y)"
"26384"	"~ de $1 envers $2"	""	"100"	"($1=X,$2=Y)"
"26385"	"$1 ~ à $2"	" atterrit "	"100"	"($1=X,$2=Y)"
"26388"	"~ de $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26390"	"Le locuteur dit : « ~ »"	"Au revoir !"	"100"	"()"
"26393"	"~ de $1"	""	"100"	"($1=X)"
"26394"	"$1 ~ $2 de $3"	"augmente"	"100"	"($1=X,$2=Y,$3=Z)"
"26398"	"$1 ~"	""	"100"	"($1=X)"
"26399"	"$1 ~"	""	"100"	"($1=X)"
"26401"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26402"	"$1 qui est ~"	""	"100"	"($1=X)"
"26403"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26404"	"~ conduit par $1 et utilisé par $2, qui s’arrête à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26405"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"26406"	"$1 qui est ~"	""	"100"	"($1=X)"
"26407"	"~"	""	"100"	"()"
"26408"	"! ~ où travaillent les $1 pour fabriquer $2"	""	"100"	"($1=X,$2=Y)"
"26409"	"~ de $1 dans le domaine $2"	""	"100"	"($1=X,$2=Y)"
"26410"	"$1 ~ $2 à faire $3"	"autorise"	"100"	"($1=X,$2=Y,$3=Z)"
"26411"	"~ de $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26412"	"~ utilisée par $1"	""	"100"	"($1=X)"
"26413"	"$1 ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26414"	"~ $1"	""	"100"	"($1=X)"
"26415"	"$1 ~"	""	"100"	"($1=X)"
"26416"	"! $1 ~ que $2"	""	"60"	"($1=X,$2=Y)"
"26417"	"$1 ~ $2"	" avale "	"100"	"($1=X,$2=Y)"
"26418"	"! $1 ~ vers $2"	"avance "	"100"	"($1=X,$2=Y)"
"26420"	"~ de $1 sur $2 dans le domaine $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26422"	"~"	""	"100"	"()"
"26423"	"[$1] ~ $2"	""	"100"	"($1=X,$2=Y)"
"26424"	"~"	""	"100"	"()"
"26425"	"~ de $1"	""	"100"	"($1=X)"
"26426"	"~ utilisée par $1 pour se rendre à $2"	""	"100"	"($1=X,$2=Y)"
"26427"	"! ~ de $1 sur $2"	""	"60"	"($1=X,$2=Y)"
"26429"	"$1 qui est ~"	""	"100"	"($1=X)"
"26430"	"~ utilisée par $1"	""	"100"	"($1=X)"
"26431"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"26432"	"~ de $1 à propos de $2"	""	"100"	"($1=X,$2=Y)"
"26434"	"$1 ~ $2"	"a"	"100"	"($1=X,$2=Y)"
"26436"	"$1 ~ $2 à $3"	"avoue"	"100"	"($1=X,$2=Y,$3=Z)"
"26438"	"~"	""	"100"	"()"
"26442"	"~ de $1"	""	"100"	"($1=X)"
"26444"	"~ qui sert à $1"	""	"100"	"($1=X)"
"26445"	"$1 ~"	"baîlle"	"100"	"($1=X)"
"26446"	"~ de $1 dans $2"	""	"100"	"($1=X,$2=Y)"
"26447"	"~ par $1 à $2"	""	"100"	"($1=X,$2=Y)"
"26448"	"$1 ~ $2"	"baisse"	"100"	"($1=X,$2=Y)"
"26449"	"~ pour $2 auquel participent les $1"	""	"100"	"($1=X,$2=Y)"
"26450"	"~ de $1"	""	"100"	"($1=X)"
"26453"	"~"	""	"100"	"()"
"26454"	"~ de $2  qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"26455"	"$1 qui est ~"	""	"100"	"($1=X)"
"26456"	"~ destimée à être consommée par $1"	""	"100"	"($1=X)"
"26458"	"~ de $1"	""	"100"	"($1=X)"
"26461"	"~ où travaillent les $1 au service des $2"	""	"100"	"($1=X,$2=Y)"
"26462"	"~ où $1 vend $2 à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26463"	"~ de $1"	""	"100"	"($1=X)"
"26464"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26465"	"~ de $1"	""	"100"	"($1=X)"
