"id"	"entry"	"lexnum"	"status"	"%"
"26402"	"26404"	"I.2"	"2"	"100"
"26403"	"26405"	"I"	"2"	"100"
"26404"	"26406"	""	"2"	"100"
"26405"	"26407"	""	"2"	"100"
"26406"	"26408"	""	"2"	"100"
"26407"	"26409"	""	"2"	"100"
"26408"	"26410"	"II"	"2"	"100"
"26409"	"26411"	""	"2"	"100"
"26410"	"26412"	""	"2"	"100"
"26411"	"26413"	""	"2"	"100"
"26412"	"26414"	"I"	"1"	"100"
"26413"	"26415"	"I.1"	"2"	"100"
"26414"	"26416"	""	"2"	"100"
"26415"	"26417"	""	"2"	"100"
"26416"	"26418"	""	"2"	"100"
"26417"	"26419"	"I.1"	"2"	"100"
"26418"	"26420"	"I.1"	"2"	"100"
"26420"	"26422"	"I"	"2"	"100"
"26421"	"26423"	""	"2"	"100"
"26422"	"26424"	""	"2"	"100"
"26423"	"26425"	"III"	"2"	"100"
"26424"	"26426"	""	"2"	"100"
"26425"	"26427"	""	"2"	"100"
"26426"	"26428"	""	"2"	"100"
"26427"	"26429"	"I"	"2"	"100"
"26428"	"26430"	"1"	"2"	"100"
"26429"	"26431"	"I"	"2"	"100"
"26430"	"26432"	"II"	"2"	"100"
"26431"	"26433"	"I"	"2"	"100"
"26432"	"26434"	"I"	"2"	"100"
"26433"	"26435"	"I"	"2"	"100"
"26434"	"26436"	"I.1"	"2"	"100"
"26435"	"26437"	""	"2"	"100"
"26436"	"26438"	""	"2"	"100"
"26437"	"26439"	""	"2"	"100"
"26438"	"26440"	""	"2"	"100"
"26442"	"26444"	"I.1"	"2"	"100"
"26443"	"26445"	"II"	"2"	"100"
"26444"	"26446"	""	"2"	"100"
"26445"	"26447"	""	"2"	"100"
"26446"	"26448"	"I.1"	"2"	"100"
"26447"	"26449"	""	"2"	"100"
"26448"	"26450"	"I.1"	"2"	"100"
"26449"	"26451"	""	"2"	"100"
"26450"	"26452"	""	"2"	"100"
"26451"	"26453"	"I.1"	"2"	"100"
"26452"	"26454"	"I.1a"	"2"	"100"
"26453"	"26455"	"I"	"2"	"100"
"26454"	"26456"	"I"	"2"	"100"
"26455"	"26457"	"1"	"2"	"100"
"26456"	"26458"	""	"2"	"100"
"26458"	"26460"	"I.1"	"2"	"100"
"26459"	"26461"	"I"	"1"	"100"
"26460"	"26462"	""	"2"	"100"
"26461"	"26463"	""	"2"	"100"
"26462"	"26464"	"I"	"2"	"100"
"26463"	"26465"	"I.1"	"2"	"100"
"26464"	"26466"	"1"	"2"	"100"
"26465"	"26467"	""	"2"	"100"
"26466"	"26468"	"I.1"	"2"	"100"
"26467"	"26469"	""	"2"	"100"
"26468"	"26470"	"I"	"2"	"100"
"26469"	"26471"	"I.1"	"2"	"100"
"26470"	"26472"	"I"	"2"	"100"
"26471"	"26473"	"1"	"1"	"100"
"26473"	"26475"	"I"	"1"	"100"
"26474"	"26476"	"I.1"	"2"	"100"
"26475"	"26477"	"1"	"2"	"100"
"26476"	"26478"	"I.1"	"2"	"100"
"26477"	"26479"	""	"2"	"100"
"26478"	"26480"	""	"2"	"100"
"26479"	"26481"	"I.1"	"2"	"100"
"26480"	"26482"	"II"	"2"	"100"
"26481"	"26483"	"II.1"	"2"	"100"
"26482"	"26484"	"2a"	"2"	"100"
"26483"	"26485"	"I.1"	"2"	"100"
"26484"	"26486"	"2"	"2"	"100"
"26485"	"26487"	"I"	"2"	"100"
"26486"	"26488"	""	"2"	"100"
"26487"	"26489"	"1"	"2"	"100"
"26488"	"26490"	"1"	"2"	"100"
"26489"	"26491"	"I"	"2"	"100"
"26490"	"26492"	""	"2"	"100"
"26491"	"26493"	""	"2"	"100"
"26492"	"26494"	"1"	"2"	"100"
"26493"	"26495"	"III.a"	"2"	"100"
"26494"	"26496"	"II"	"2"	"100"
